falhas_chamada,reclamacoes,tempo_assinatura,valor_cobrado,segundos_uso,freq_uso,freq_sms,numeros_dist_chamados,plano,situacao,idade,valor_cliente,cancelamento
2,0,9,1,4390,40,215,10,Pré-Pago,Ativo,30,10372,Não Cancelou
3,0,9,1,1488,19,0,7,Pré-Pago,Ativo,30,6028,Cancelou
11,0,40,1,4430,74,10,19,Pré-Pago,Ativo,30,22016,Não Cancelou
3,0,41,1,378,8,12,6,Pré-Pago,Ativo,30,6344,Não Cancelou
13,0,39,1,2513,63,364,26,Pré-Pago,Ativo,30,155904,Não Cancelou
13,0,40,1,4258,69,6,37,Pré-Pago,Ativo,15,270985,Não Cancelou
6,0,40,1,2453,61,7,35,Pré-Pago,Ativo,25,14463,Não Cancelou
14,0,40,2,3835,85,37,30,Contrato,Ativo,30,3048,Não Cancelou
7,0,40,1,2420,42,290,20,Pré-Pago,Ativo,30,125848,Não Cancelou
16,0,39,3,9175,124,149,45,Pré-Pago,Ativo,30,96796,Não Cancelou
10,0,40,1,13833,172,5,46,Pré-Pago,Ativo,30,5802,Não Cancelou
10,0,40,2,4575,86,7,27,Pré-Pago,Ativo,30,21444,Não Cancelou
9,0,40,1,5978,98,12,14,Pré-Pago,Ativo,30,29104,Não Cancelou
12,0,40,1,2298,57,13,19,Pré-Pago,Ativo,30,1462,Não Cancelou
28,0,40,4,15200,228,59,34,Pré-Pago,Ativo,30,85312,Não Cancelou
7,0,40,2,3155,30,488,10,Pré-Pago,Ativo,30,20794,Não Cancelou
12,0,39,1,15545,185,155,32,Pré-Pago,Ativo,25,140535,Não Cancelou
6,0,39,2,6560,89,191,28,Pré-Pago,Ativo,30,102996,Não Cancelou
3,0,39,1,935,17,5,13,Pré-Pago,Ativo,25,6534,Não Cancelou
5,0,40,1,770,17,18,10,Pré-Pago,Ativo,30,10348,Não Cancelou
3,1,39,1,60,3,5,2,Pré-Pago,Ativo,25,25335,Cancelou
6,0,39,1,7568,130,389,45,Pré-Pago,Ativo,30,186392,Não Cancelou
10,0,39,2,11525,157,16,49,Contrato,Ativo,45,33205,Não Cancelou
11,0,39,2,6778,78,113,39,Pré-Pago,Ativo,25,81702,Não Cancelou
26,1,35,1,1015,50,21,19,Pré-Pago,Ativo,30,1266,Cancelou
24,1,38,9,10495,96,6,44,Contrato,Ativo,55,167865,Não Cancelou
16,0,38,2,5878,101,31,26,Pré-Pago,Ativo,25,408555,Não Cancelou
4,0,36,1,2900,25,5,16,Pré-Pago,Ativo,30,137,Não Cancelou
12,0,37,1,3050,44,14,18,Pré-Pago,Ativo,30,17976,Cancelou
12,1,38,1,2328,47,39,33,Pré-Pago,Ativo,30,251,Cancelou
3,0,38,1,193,5,5,4,Pré-Pago,Ativo,30,2792,Cancelou
4,0,38,1,1728,28,5,8,Pré-Pago,Ativo,45,564,Não Cancelou
6,0,35,2,6845,100,19,24,Pré-Pago,Ativo,55,132675,Não Cancelou
3,0,38,1,688,10,14,6,Pré-Pago,Ativo,45,5245,Cancelou
3,0,38,2,398,7,9,4,Pré-Pago,Ativo,55,19575,Não Cancelou
28,0,33,4,16135,241,5,82,Pré-Pago,Ativo,25,75942,Não Cancelou
9,1,36,4,7025,119,276,35,Contrato,Ativo,30,138976,Não Cancelou
5,0,38,1,3778,85,7,30,Pré-Pago,Ativo,30,18252,Não Cancelou
6,0,37,1,1725,47,43,22,Pré-Pago,Ativo,30,24288,Não Cancelou
9,0,38,1,2840,56,180,25,Pré-Pago,Ativo,25,94032,Não Cancelou
7,0,29,2,1375,39,198,13,Contrato,Ativo,30,84856,Não Cancelou
7,0,28,1,1628,42,35,70,Pré-Pago,Ativo,45,12925,Não Cancelou
14,0,29,1,760,28,15,9,Pré-Pago,Ativo,30,9152,Não Cancelou
3,0,28,1,885,13,26,5,Pré-Pago,Ativo,45,8745,Não Cancelou
13,0,27,1,1285,35,24,15,Pré-Pago,Ativo,25,1674,Não Cancelou
5,0,27,1,3285,64,13,25,Pré-Pago,Ativo,30,18596,Não Cancelou
5,0,20,1,1755,29,33,16,Pré-Pago,Ativo,25,22878,Não Cancelou
19,0,19,2,6453,144,90,44,Contrato,Ativo,25,701865,Não Cancelou
15,0,17,1,8993,174,78,42,Pré-Pago,Ativo,55,254505,Não Cancelou
11,0,18,4,2913,48,36,21,Pré-Pago,Ativo,30,26244,Não Cancelou
5,0,11,2,4450,43,220,12,Pré-Pago,Ativo,30,105972,Não Cancelou
6,1,11,2,1548,22,5,9,Pré-Pago,Ativo,30,828,Cancelou
5,0,36,0,4310,68,0,15,Pré-Pago,Ativo,25,19701,Não Cancelou
0,0,37,0,258,2,2,2,Pré-Pago,Inativo,25,207,Não Cancelou
7,0,35,0,2393,57,354,22,Pré-Pago,Ativo,25,170325,Não Cancelou
7,0,36,0,4138,63,0,33,Pré-Pago,Ativo,15,231055,Não Cancelou
0,0,36,0,2333,55,0,31,Pré-Pago,Ativo,15,13134,Não Cancelou
8,0,36,0,3715,79,27,26,Pré-Pago,Ativo,30,25976,Não Cancelou
1,0,36,0,2300,36,280,16,Pré-Pago,Ativo,30,121344,Não Cancelou
10,0,35,1,9055,118,139,41,Pré-Pago,Ativo,30,92292,Não Cancelou
4,0,36,0,13713,166,0,42,Pré-Pago,Ativo,30,55516,Não Cancelou
4,0,36,0,4455,80,0,23,Pré-Pago,Ativo,30,1814,Não Cancelou
3,0,36,0,5858,92,2,10,Pré-Pago,Ativo,25,27675,Não Cancelou
6,1,36,0,2178,51,3,15,Pré-Pago,Inativo,30,10116,Não Cancelou
22,0,36,2,15080,222,49,30,Pré-Pago,Ativo,30,80808,Não Cancelou
1,0,36,0,3035,24,478,6,Pré-Pago,Ativo,30,203436,Não Cancelou
6,0,35,0,15425,179,145,28,Pré-Pago,Ativo,25,135468,Não Cancelou
0,0,35,0,6440,83,181,24,Pré-Pago,Ativo,30,98492,Não Cancelou
0,0,35,0,815,11,0,9,Pré-Pago,Inativo,25,3717,Não Cancelou
0,0,36,0,650,11,8,6,Pré-Pago,Inativo,25,65745,Não Cancelou
0,0,35,0,0,0,0,0,Pré-Pago,Inativo,25,0,Cancelou
0,0,35,0,7448,124,379,41,Pré-Pago,Ativo,25,204624,Não Cancelou
4,0,35,0,11405,151,6,45,Pré-Pago,Ativo,30,48624,Não Cancelou
5,0,35,0,6658,72,103,35,Pré-Pago,Ativo,25,76635,Não Cancelou
20,0,31,0,895,44,11,15,Pré-Pago,Inativo,25,91755,Cancelou
18,0,34,7,10375,90,0,40,Pré-Pago,Ativo,45,261625,Não Cancelou
10,0,34,0,5758,95,21,22,Pré-Pago,Ativo,25,357885,Cancelou
0,0,32,0,2780,19,0,12,Pré-Pago,Ativo,30,11196,Não Cancelou
6,0,33,0,2930,38,4,14,Pré-Pago,Inativo,25,15156,Cancelou
6,1,34,0,2208,41,29,29,Pré-Pago,Inativo,30,20596,Cancelou
0,1,34,0,0,0,0,0,Pré-Pago,Inativo,30,0,Cancelou
0,0,34,0,1608,22,0,4,Pré-Pago,Ativo,30,652,Não Cancelou
0,0,31,0,6725,94,9,20,Pré-Pago,Ativo,45,192975,Não Cancelou
0,0,34,0,568,4,4,2,Pré-Pago,Inativo,45,243,Cancelou
0,0,34,0,0,0,0,0,Pré-Pago,Ativo,55,0,Não Cancelou
22,0,29,2,16015,235,0,78,Pré-Pago,Ativo,25,73125,Não Cancelou
3,0,32,2,6905,113,266,31,Contrato,Ativo,25,151281,Não Cancelou
0,0,34,0,3658,79,0,26,Pré-Pago,Ativo,25,168165,Não Cancelou
0,0,33,0,1605,41,33,18,Pré-Pago,Inativo,30,19784,Não Cancelou
3,0,34,0,2720,50,170,21,Pré-Pago,Ativo,25,88965,Não Cancelou
1,0,25,0,1255,33,188,9,Contrato,Ativo,25,90396,Não Cancelou
1,0,24,0,1508,36,25,66,Pré-Pago,Ativo,45,1011,Não Cancelou
8,0,25,0,640,22,5,5,Pré-Pago,Inativo,25,5229,Não Cancelou
0,1,24,0,765,7,16,1,Pré-Pago,Inativo,45,593,Cancelou
7,0,23,0,1165,29,14,11,Pré-Pago,Ativo,25,11673,Não Cancelou
0,0,23,0,3165,58,3,21,Pré-Pago,Ativo,30,14092,Não Cancelou
0,0,16,0,1635,23,23,12,Pré-Pago,Ativo,25,17811,Não Cancelou
13,0,15,0,6333,138,80,40,Contrato,Ativo,15,795905,Não Cancelou
9,0,13,0,8873,168,68,38,Pré-Pago,Ativo,45,396025,Não Cancelou
5,0,14,2,2793,42,26,17,Pré-Pago,Ativo,30,2174,Não Cancelou
0,0,7,0,4330,37,210,8,Pré-Pago,Ativo,30,101468,Não Cancelou
0,0,7,0,1428,16,0,5,Pré-Pago,Ativo,30,5776,Cancelou
9,0,42,1,4450,73,15,21,Pré-Pago,Ativo,30,24092,Não Cancelou
1,1,43,0,398,7,17,8,Pré-Pago,Inativo,30,842,Cancelou
11,0,41,1,2533,62,369,28,Pré-Pago,Ativo,30,15798,Não Cancelou
11,0,42,1,4278,68,11,39,Pré-Pago,Ativo,15,29953,Não Cancelou
4,0,42,1,2473,60,12,37,Pré-Pago,Ativo,25,167985,Não Cancelou
12,0,42,2,3855,84,42,32,Pré-Pago,Ativo,30,32556,Não Cancelou
5,0,42,1,2440,41,295,22,Pré-Pago,Ativo,30,127924,Não Cancelou
14,0,41,3,9195,123,154,47,Pré-Pago,Ativo,30,98872,Não Cancelou
8,0,42,1,13853,171,10,48,Pré-Pago,Ativo,30,60096,Não Cancelou
8,0,42,2,4595,85,12,29,Pré-Pago,Ativo,30,2352,Não Cancelou
7,0,42,1,5998,97,17,16,Pré-Pago,Ativo,30,3118,Não Cancelou
10,0,42,0,2318,56,18,21,Pré-Pago,Inativo,30,16696,Não Cancelou
26,0,42,4,15220,227,64,36,Contrato,Ativo,30,87388,Não Cancelou
5,0,42,2,3175,29,493,12,Pré-Pago,Ativo,30,210016,Não Cancelou
10,0,41,1,15565,184,160,34,Pré-Pago,Ativo,25,1428705,Não Cancelou
4,0,41,2,6580,88,196,30,Pré-Pago,Ativo,30,105072,Não Cancelou
1,0,41,0,955,16,10,15,Pré-Pago,Inativo,25,88695,Não Cancelou
3,0,42,0,790,16,23,12,Pré-Pago,Inativo,30,12424,Não Cancelou
1,0,41,0,80,2,10,4,Pré-Pago,Inativo,25,4869,Cancelou
4,0,41,1,7588,129,394,47,Pré-Pago,Ativo,30,188468,Não Cancelou
8,0,41,2,11545,156,21,51,Pré-Pago,Ativo,45,345025,Não Cancelou
9,0,41,2,6798,77,118,41,Pré-Pago,Ativo,25,840375,Não Cancelou
24,1,37,0,1035,49,26,21,Pré-Pago,Inativo,30,14736,Cancelou
22,1,40,9,10515,95,11,46,Pré-Pago,Ativo,55,17565,Não Cancelou
14,0,40,2,5898,100,36,28,Pré-Pago,Ativo,25,43191,Cancelou
2,0,38,1,2920,24,10,18,Pré-Pago,Ativo,30,15776,Não Cancelou
10,0,39,0,3070,43,19,20,Pré-Pago,Inativo,30,20052,Cancelou
10,1,40,0,2348,46,44,35,Pré-Pago,Inativo,30,27176,Cancelou
1,0,40,0,213,4,10,6,Pré-Pago,Inativo,30,4868,Cancelou
2,0,40,1,1748,27,10,10,Pré-Pago,Ativo,45,69375,Não Cancelou
4,0,37,2,6865,99,24,26,Pré-Pago,Ativo,55,14046,Não Cancelou
1,1,40,0,708,9,19,8,Pré-Pago,Inativo,45,65425,Cancelou
1,0,40,2,418,6,14,6,Pré-Pago,Ativo,55,2736,Não Cancelou
26,0,35,4,16155,240,10,84,Pré-Pago,Ativo,25,782775,Não Cancelou
7,1,38,4,7045,118,281,37,Contrato,Ativo,25,1586835,Não Cancelou
3,0,40,1,3798,84,12,32,Pré-Pago,Ativo,30,20328,Não Cancelou
4,0,39,0,1745,46,48,24,Pré-Pago,Inativo,30,26364,Não Cancelou
7,0,40,1,2860,55,185,27,Pré-Pago,Ativo,25,963675,Não Cancelou
5,0,31,2,1395,38,203,15,Contrato,Ativo,25,977985,Não Cancelou
5,0,30,1,1648,41,40,72,Pré-Pago,Ativo,45,142225,Não Cancelou
12,0,31,0,780,27,20,11,Pré-Pago,Inativo,30,11228,Não Cancelou
1,0,30,0,905,12,31,7,Pré-Pago,Inativo,45,100425,Não Cancelou
11,0,29,1,1305,34,29,17,Pré-Pago,Ativo,25,190755,Não Cancelou
3,0,29,1,3305,63,18,27,Pré-Pago,Ativo,30,20672,Não Cancelou
3,0,22,1,1775,28,38,18,Pré-Pago,Ativo,25,252135,Não Cancelou
17,0,21,2,6473,143,95,46,Contrato,Ativo,25,72522,Não Cancelou
13,0,19,1,9013,173,83,44,Pré-Pago,Ativo,55,26229,Não Cancelou
9,0,20,4,2933,47,41,23,Pré-Pago,Ativo,30,2832,Não Cancelou
3,0,13,2,4470,42,225,14,Pré-Pago,Ativo,30,108048,Não Cancelou
4,0,13,2,1568,21,10,11,Pré-Pago,Ativo,30,10356,Cancelou
7,0,34,0,4290,69,0,13,Pré-Pago,Ativo,25,196155,Não Cancelou
0,0,35,0,0,0,0,0,Pré-Pago,Inativo,25,0,Não Cancelou
9,0,33,0,2373,58,349,20,Pré-Pago,Ativo,25,1679895,Não Cancelou
9,0,34,0,4118,64,0,31,Pré-Pago,Ativo,15,23001,Não Cancelou
2,0,34,0,2313,56,0,29,Pré-Pago,Ativo,15,130295,Não Cancelou
10,0,34,0,3695,80,22,24,Pré-Pago,Ativo,30,239,Não Cancelou
3,0,34,0,2280,37,275,14,Pré-Pago,Ativo,30,119268,Não Cancelou
12,0,33,1,9035,119,134,39,Pré-Pago,Ativo,30,90216,Não Cancelou
6,0,34,0,13693,167,0,40,Pré-Pago,Ativo,30,5544,Não Cancelou
6,0,34,0,4435,81,0,21,Pré-Pago,Ativo,30,18064,Não Cancelou
5,0,34,0,5838,93,0,8,Pré-Pago,Ativo,25,266895,Não Cancelou
8,0,34,0,2158,52,0,13,Pré-Pago,Inativo,30,884,Não Cancelou
24,0,34,2,15060,223,44,28,Pré-Pago,Ativo,30,78732,Não Cancelou
3,0,34,0,3015,25,473,4,Pré-Pago,Ativo,30,20136,Não Cancelou
8,0,33,0,15405,180,140,26,Pré-Pago,Ativo,25,1331325,Não Cancelou
2,0,33,0,6420,84,176,22,Pré-Pago,Ativo,30,96416,Não Cancelou
0,0,33,0,795,12,0,7,Pré-Pago,Inativo,25,36315,Não Cancelou
1,0,34,0,630,12,3,4,Pré-Pago,Inativo,25,4239,Não Cancelou
0,0,33,0,0,0,0,0,Pré-Pago,Inativo,25,0,Cancelou
2,0,33,0,7428,125,374,39,Pré-Pago,Ativo,25,2022885,Não Cancelou
6,0,33,0,11385,152,1,43,Pré-Pago,Ativo,30,46548,Não Cancelou
7,0,33,0,6638,73,98,33,Pré-Pago,Ativo,25,742995,Não Cancelou
22,0,29,0,875,45,6,13,Pré-Pago,Inativo,25,684,Cancelou
20,0,32,7,10355,91,0,38,Pré-Pago,Ativo,45,26115,Não Cancelou
12,1,32,0,5738,96,16,20,Pré-Pago,Ativo,25,33453,Cancelou
0,0,30,0,2760,20,0,10,Pré-Pago,Ativo,30,1112,Não Cancelou
8,1,31,0,2910,39,0,12,Pré-Pago,Inativo,30,11796,Cancelou
8,0,32,0,2188,42,24,27,Pré-Pago,Inativo,30,1852,Cancelou
0,1,32,0,0,0,0,0,Pré-Pago,Inativo,30,0,Cancelou
0,0,32,0,1588,23,0,2,Pré-Pago,Ativo,30,6444,Não Cancelou
2,0,29,0,6705,95,4,18,Pré-Pago,Ativo,45,180,Não Cancelou
0,0,32,0,0,0,0,0,Pré-Pago,Inativo,45,0,Cancelou
0,0,32,0,0,0,0,0,Pré-Pago,Ativo,55,0,Não Cancelou
24,0,27,2,15995,236,0,76,Pré-Pago,Ativo,25,730395,Não Cancelou
5,0,30,2,6885,114,261,29,Contrato,Ativo,25,1489455,Não Cancelou
1,0,32,0,3638,80,0,24,Pré-Pago,Ativo,25,16731,Não Cancelou
2,0,31,0,1585,42,28,16,Pré-Pago,Inativo,30,17708,Não Cancelou
5,0,32,0,2700,51,165,19,Pré-Pago,Ativo,25,866295,Não Cancelou
3,0,23,0,1235,34,183,7,Contrato,Ativo,25,880605,Não Cancelou
3,0,22,0,1488,37,20,64,Pré-Pago,Ativo,45,88125,Não Cancelou
10,0,23,0,620,23,0,3,Pré-Pago,Inativo,25,28935,Não Cancelou
0,0,22,0,0,0,11,0,Pré-Pago,Inativo,45,275,Não Cancelou
9,0,21,0,1145,30,9,9,Pré-Pago,Ativo,25,93375,Não Cancelou
1,0,21,0,3145,59,0,19,Pré-Pago,Ativo,30,12816,Não Cancelou
1,0,14,0,1615,24,18,10,Pré-Pago,Ativo,25,154755,Não Cancelou
15,0,13,0,6313,139,75,38,Contrato,Ativo,15,76736,Não Cancelou
11,0,11,0,8853,169,63,36,Pré-Pago,Ativo,45,38305,Não Cancelou
7,0,12,2,2773,43,21,15,Pré-Pago,Ativo,30,19664,Não Cancelou
1,0,5,0,4310,38,205,6,Pré-Pago,Ativo,30,99392,Não Cancelou
2,0,5,0,1408,17,0,3,Pré-Pago,Ativo,30,57,Cancelou
13,0,44,1,4630,81,20,23,Pré-Pago,Ativo,30,26844,Não Cancelou
5,0,45,0,578,15,22,10,Pré-Pago,Inativo,30,11172,Não Cancelou
15,0,43,1,2713,70,374,30,Pré-Pago,Ativo,30,160732,Não Cancelou
15,0,44,1,4458,76,16,41,Pré-Pago,Ativo,15,33737,Não Cancelou
8,0,44,1,2653,68,17,39,Pré-Pago,Ativo,25,198945,Não Cancelou
16,0,44,2,4035,92,47,34,Pré-Pago,Ativo,30,35308,Não Cancelou
9,0,44,1,2620,49,300,24,Pré-Pago,Ativo,30,130676,Não Cancelou
18,0,43,3,9375,131,159,49,Pré-Pago,Ativo,30,101624,Não Cancelou
12,0,44,1,14033,179,15,50,Pré-Pago,Ativo,30,62848,Não Cancelou
12,0,44,2,4775,93,17,31,Pré-Pago,Ativo,30,26272,Não Cancelou
11,0,44,1,6178,105,22,18,Pré-Pago,Ativo,30,33932,Não Cancelou
14,1,44,0,2498,64,23,23,Pré-Pago,Inativo,30,19448,Não Cancelou
30,0,44,4,15400,235,69,38,Pré-Pago,Ativo,30,9014,Não Cancelou
9,0,44,2,3355,37,498,14,Pré-Pago,Ativo,30,212768,Não Cancelou
14,0,43,1,15745,192,165,36,Pré-Pago,Ativo,25,1459665,Não Cancelou
8,0,43,2,6760,96,201,32,Pré-Pago,Ativo,30,107824,Não Cancelou
5,0,43,0,1135,24,15,17,Pré-Pago,Inativo,25,119655,Não Cancelou
7,0,44,0,970,24,28,14,Pré-Pago,Inativo,30,15176,Não Cancelou
5,0,43,0,260,10,15,6,Pré-Pago,Inativo,25,7965,Cancelou
8,0,43,1,7768,137,399,49,Pré-Pago,Ativo,30,19122,Não Cancelou
12,0,43,2,11725,164,26,53,Pré-Pago,Ativo,45,362225,Não Cancelou
13,0,43,2,6978,85,123,43,Pré-Pago,Ativo,25,871335,Não Cancelou
28,1,39,0,1215,57,31,23,Pré-Pago,Inativo,30,17488,Cancelou
26,0,42,9,10695,103,16,48,Contrato,Ativo,55,18597,Não Cancelou
18,0,42,2,6078,108,41,30,Pré-Pago,Ativo,25,46287,Não Cancelou
6,0,40,1,3100,32,15,20,Pré-Pago,Ativo,30,18528,Não Cancelou
14,1,41,0,3250,51,24,22,Pré-Pago,Inativo,30,22804,Cancelou
14,1,42,0,2528,54,49,37,Pré-Pago,Inativo,45,18705,Cancelou
5,0,42,0,393,12,15,8,Pré-Pago,Inativo,30,762,Cancelou
6,0,42,1,1928,35,15,12,Pré-Pago,Ativo,45,86575,Não Cancelou
8,0,39,2,7045,107,29,28,Pré-Pago,Ativo,55,15078,Não Cancelou
5,0,42,0,888,17,24,10,Pré-Pago,Inativo,45,82625,Cancelou
5,0,42,2,598,14,19,8,Pré-Pago,Ativo,55,3768,Não Cancelou
30,1,37,4,16335,248,15,86,Pré-Pago,Ativo,25,813735,Não Cancelou
11,1,40,4,7225,126,286,39,Contrato,Ativo,30,143804,Não Cancelou
7,0,42,1,3978,92,17,34,Pré-Pago,Ativo,30,2308,Não Cancelou
8,0,41,0,1925,54,53,26,Pré-Pago,Inativo,30,29116,Não Cancelou
11,0,42,1,3040,63,190,29,Pré-Pago,Ativo,25,994635,Não Cancelou
9,0,33,2,1575,46,208,17,Contrato,Ativo,30,89684,Não Cancelou
9,0,32,1,1828,49,45,74,Pré-Pago,Ativo,55,95655,Não Cancelou
16,0,33,0,960,35,25,13,Pré-Pago,Inativo,30,1398,Não Cancelou
5,0,32,0,1085,20,36,9,Pré-Pago,Inativo,45,117625,Não Cancelou
15,0,31,1,1485,42,34,19,Pré-Pago,Ativo,25,221715,Não Cancelou
7,0,31,1,3485,71,23,29,Pré-Pago,Ativo,30,23424,Não Cancelou
7,0,24,1,1955,36,43,20,Pré-Pago,Ativo,30,25164,Não Cancelou
21,0,23,2,6653,151,100,48,Contrato,Ativo,25,75618,Não Cancelou
17,0,21,1,9193,181,88,46,Pré-Pago,Ativo,55,27261,Não Cancelou
13,0,22,4,3113,55,46,25,Pré-Pago,Ativo,30,31072,Não Cancelou
7,0,15,2,4650,50,230,16,Pré-Pago,Ativo,30,1108,Não Cancelou
8,1,15,2,1748,29,15,13,Pré-Pago,Ativo,30,13108,Cancelou
3,0,32,0,4110,61,0,11,Pré-Pago,Ativo,25,187695,Não Cancelou
0,0,33,0,0,0,0,0,Pré-Pago,Inativo,25,0,Não Cancelou
5,0,31,0,2193,50,344,18,Pré-Pago,Ativo,25,1648935,Não Cancelou
5,0,32,0,3938,56,0,29,Pré-Pago,Ativo,15,21967,Não Cancelou
0,0,32,0,2133,48,0,27,Pré-Pago,Ativo,15,119955,Não Cancelou
6,0,32,0,3515,72,17,22,Pré-Pago,Ativo,25,237915,Não Cancelou
0,0,32,0,2100,29,270,12,Pré-Pago,Ativo,30,116516,Não Cancelou
8,0,31,1,8855,111,129,37,Pré-Pago,Ativo,30,87464,Não Cancelou
2,0,32,0,13513,159,0,38,Pré-Pago,Ativo,30,54688,Não Cancelou
2,0,32,0,4255,73,0,19,Pré-Pago,Ativo,30,17312,Não Cancelou
1,0,32,0,5658,85,0,6,Pré-Pago,Ativo,25,258435,Não Cancelou
4,0,32,0,1978,44,0,11,Pré-Pago,Inativo,30,8088,Não Cancelou
20,0,32,2,14880,215,39,26,Pré-Pago,Ativo,30,7598,Não Cancelou
0,0,32,0,2835,17,468,2,Pré-Pago,Ativo,30,198608,Não Cancelou
4,0,31,0,15225,172,135,24,Pré-Pago,Ativo,25,1300365,Não Cancelou
0,0,31,0,6240,76,171,20,Pré-Pago,Ativo,30,93664,Não Cancelou
0,0,31,0,615,4,0,5,Pré-Pago,Inativo,25,27855,Não Cancelou
0,0,32,0,450,4,0,2,Pré-Pago,Inativo,25,2043,Não Cancelou
0,0,31,0,0,0,0,0,Pré-Pago,Inativo,25,0,Cancelou
0,0,31,0,7248,117,369,37,Pré-Pago,Ativo,25,1991925,Não Cancelou
2,0,31,0,11205,144,0,41,Pré-Pago,Ativo,30,45396,Não Cancelou
3,0,31,0,6458,65,93,31,Pré-Pago,Ativo,25,712035,Não Cancelou
18,1,27,0,695,37,1,11,Pré-Pago,Inativo,25,3744,Cancelou
16,0,30,7,10175,83,0,36,Pré-Pago,Ativo,45,25645,Não Cancelou
8,1,30,0,5558,88,11,18,Pré-Pago,Ativo,25,30357,Cancelou
0,0,28,0,2580,12,0,8,Pré-Pago,Ativo,30,10368,Não Cancelou
4,0,29,0,2730,31,0,10,Pré-Pago,Inativo,25,124245,Cancelou
